price,fullbath,halfbath,squarefe,acres,age,cbddist,hamburgd,fayettem,parkdist,bedrooms
256000,3,0,2703,0.3443999887,32,2.077516317,3.037387133,2.949393749,0.651263833,3
154000,2,1,1824,0.1884000003,22,2.407594442,2.911097765,2.959378958,0.7485584021,4
424000,3,0,2935,0.4291000068,42,2.00698781,3.023792505,3.008630276,0.6822857857,2
210000,2,1,2437,0.1111999974,12,1.906622052,3.947402716,2.066451788,0,4
620000,3,1,4739,0.3447000086,13,2.419153929,3.228095531,2.619117498,0.4051715136,6
480500,3,1,3432,0.2633999884,1,2.366647482,3.707124949,2.140254736,0.07211709023,7
113000,2,0,1552,0.1240999997,16,2.96692276,3.573941231,2.296127081,0.2899945378,3
185000,2,2,1916,0.08959999681,11,3.210216045,2.92287302,2.981686115,0.6034107804,6
370000,3,1,3452,0.3100000024,8,3.189347744,3.154825449,2.761727095,0.3980747759,6
243000,2,0,1726,0.1154000014,12,2.254052877,3.813161612,2.059850693,0.1322574168,5
170000,2,0,1199,0.1539999992,29,2.741311073,4.008049965,1.823432684,0.04194892198,4
154500,1,1,2424,0.2120999992,12,2.184193611,3.778427601,2.114167452,0.1598116755,3
113800,2,1,1400,0.1193000004,14,2.927500725,3.550365448,2.309891224,0.2964870632,2
169000,3,1,2204,0.121799998,11,2.130649328,3.985841513,1.932248354,0.1865409464,3
135000,1,1,1402,0.0485999994,20,2.080263615,3.858653545,2.072268248,0.09973733872,4
270000,4,1,4370,0.2649999857,0,2.356645107,3.684215546,2.165006399,0.0811060667,6
118000,2,1,1400,0.07020000368,13,2.144058228,3.799969912,2.106076241,0.1240181848,3
210000,2,0,1634,0.1110000014,10,2.210574389,3.796538115,2.088342667,0.1802722961,4
328000,4,1,5074,0.2800000012,8,3.189347744,3.154825449,2.761727095,0.3980747759,3
800000,3,2,4480,0.6068000197,5,2.521284103,3.519968033,2.309136868,0.07800809294,7
170000,2,1,1199,0.1524000019,29,2.739454985,4.007787228,1.823518515,0.04010942951,4
803600,4,1,5885,0.4751999974,0,2.906419754,3.170577288,2.674401999,0.4664633274,6
148500,2,1,2208,0.08309999853,12,2.181160688,3.779465199,2.114092588,0.1568949819,2
178000,2,1,1201,0.1099999994,12,3.152898788,2.945794582,2.943053722,0.6053500175,3
266000,2,1,2593,0.1534000039,7,2.232078791,3.888448954,1.99224484,0.1233487427,6
280000,3,1,2844,0.288199991,13,3.126725197,3.232918024,2.668241739,0.3788644969,5
278000,2,1,2215,0.8500000238,11,2.252556801,3.697604656,2.174882174,0.1834793538,5
165000,2,1,1594,0.1000000015,12,3.170954466,2.935152054,2.958191395,0.6072576642,3
337000,3,1,3772,0.3100000024,10,3.192752838,3.116892099,2.797953844,0.4292212129,6
495700,4,1,4370,0.2649999857,0,2.356645107,3.684215546,2.165006399,0.0811060667,6
458000,3,1,3760,1.899999976,11,2.522646427,3.600214481,2.228411198,0.02120011859,5
170000,2,1,1399,0.09000000358,12,3.149205446,2.945774794,2.942000389,0.6071174145,3
290000,2,1,2521,0.266200006,0,2.342225552,3.675607204,2.176389933,0.09375423938,5
278500,2,1,2950,0.2135999948,10,3.126164436,3.203090668,2.696024895,0.4004662633,6
98800,2,0,1716,0.124499999,13,2.976351738,3.576576948,2.295941353,0.2803180814,4
